ENPs	dT	L	Shape	Surface functionalization	Zeta Potential (mV)	Surface Area	Animal(Rat/Mouse)	Gender	M.A	M.W	Method	E.D	E.T	R.D	Dose
TiO2	290	290	sphere	-	-6.70 	57.13	Rat	male	7	279	intratracheal instillation	0	1	2	4
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	1	0.16
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	7	0.16
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	28	0.16
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	91	0.16
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	1	0.64
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	7	0.64
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	28	0.64
MWCNT	88	5000	tube	-	-11.00 	152	Rat	male	8	262.2	intratracheal instillation	0	1	91	0.64
Ag	20	20	sphere	citrate	-42.50 	5	Mouse	male	6	31	intratracheal instillation	0	1	0.167	0.32
Ag	20	20	sphere	citrate	-42.50 	5	Mouse	male	6	31	intratracheal instillation	0	1	1	0.32
TiO2	25	25	sphere	-	-16.90 	57	Rat	male	8	187.5	intratracheal instillation	0	1	0.167	0.872
TiO2	25	25	sphere	-	-16.90 	57	Rat	male	8	187.5	intratracheal instillation	0	1	0.333	0.872
TiO2	25	25	sphere	-	-16.90 	57	Rat	male	8	187.5	intratracheal instillation	0	1	1	0.209
TiO2	25	25	sphere	-	-16.90 	57	Rat	male	8	187.5	intratracheal instillation	0	1	1	0.872
TiO2	25	25	sphere	-	-16.90 	57	Rat	male	8	187.5	intratracheal instillation	0	1	7	0.872
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	0	1	2	12.5
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	0	1	2	18.75
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	0	1	2	25
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	12	4	2	25
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	0	1	2	12.5
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	0	1	2	18.75
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	0	1	2	25
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	12	4	2	25
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	12	4	1	5
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	12	4	1	12.5
Fe2O3	147	147	sphere	-	-16.90 	6	Mouse	female	7	20	intratracheal instillation	12	4	1	25
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	12	4	1	5
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	12	4	1	12.5
Fe2O3	35	35	sphere	-	-16.90 	39	Mouse	female	7	20	intratracheal instillation	12	4	1	25
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	1	0.91
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	1	2.74
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	1	8.22
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	1	0.91
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	1	2.74
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	1	8.22
CB	9	9	sphere	-	-3.70 	254	Mouse	female	7	19.7	intratracheal instillation	0	1	1	8.22
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	3	0.91
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	3	2.74
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	3	8.22
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	3	0.91
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	3	2.74
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	3	8.22
CB	9	9	sphere	-	-3.70 	254	Mouse	female	7	19.7	intratracheal instillation	0	1	3	8.22
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	28	0.91
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	28	2.74
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	28	8.22
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	28	0.91
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	28	2.74
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	28	8.22
CB	9	9	sphere	-	-3.70 	254	Mouse	female	7	19.7	intratracheal instillation	0	1	28	8.22
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	90	0.91
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	90	2.74
GO	2500	2	sheet	-	-49.70 	374.5	Mouse	female	7	19.7	intratracheal instillation	0	1	90	8.22
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	90	0.91
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	90	2.74
rGO	1500	2	sheet	-	-13.90 	180	Mouse	female	7	19.7	intratracheal instillation	0	1	90	8.22
